"Location","Locationcode","Resono-ID","Start","End","Visits"
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T00:30:00+00:00","2020-10-10T00:44:59+00:00",75
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T00:45:00+00:00","2020-10-10T00:59:59+00:00",60
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T01:00:00+00:00","2020-10-10T01:14:59+00:00",49
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T01:15:00+00:00","2020-10-10T01:29:59+00:00",45
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T01:30:00+00:00","2020-10-10T01:44:59+00:00",127
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T01:45:00+00:00","2020-10-10T01:59:59+00:00",98
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T02:00:00+00:00","2020-10-10T02:14:59+00:00",76
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T02:15:00+00:00","2020-10-10T02:29:59+00:00",74
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T02:30:00+00:00","2020-10-10T02:44:59+00:00",21
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T02:45:00+00:00","2020-10-10T02:59:59+00:00",21
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T03:00:00+00:00","2020-10-10T03:14:59+00:00",21
"Leidsebuurt Zuidwest","1b8e85a3-1d7d-44c3-844d-ccc8b43bd60d","rcd23005","2020-10-10T03:15:00+00:00","2020-10-10T03:29:59+00:00",127
