"Datum";"VertrekHalteCode";"VertrekHalteNaam";"VertrekLat";"VertrekLon";"AantalReizen"
"10/12/2020 12:00:00 AM";"00492";"Science Park Aer";"4.95269454";"52.35520888";"111"
"10/12/2020 12:00:00 AM";"00497";"Science Park Aqua";"4.95413917";"52.35608598";"36"
"10/12/2020 12:00:00 AM";"00506";"Science Park Terra";"4.95831008";"52.35434856";"41"
"10/12/2020 12:00:00 AM";"00507";"Science Park Terra";"4.95772497";"52.35413972";"68"
"10/12/2020 12:00:00 AM";"00509";"Arent Krijtsstraat";"4.95549045";"52.33940072";"159"
"10/12/2020 12:00:00 AM";"00511";"Station Duivendrecht";"4.93682938";"52.32314422";"94"
"10/12/2020 12:00:00 AM";"00512";"Middenweg";"4.93389832";"52.35020413";"72"
"10/12/2020 12:00:00 AM";"00515";"Station Duivendrecht";"4.93669692";"52.32318866";"45"
"10/12/2020 12:00:00 AM";"00529";"Station Science Park";"4.94782063";"52.35230583";"80"
"10/12/2020 12:00:00 AM";"00538";"Station Science Park";"4.94808393";"52.35239669";"21"
"10/12/2020 12:00:00 AM";"00552";"Kraaienneststation";"4.98156548";"52.31686183";"113"
"10/12/2020 12:00:00 AM";"00553";"Kraaienneststation";"4.98073727";"52.31601414";"152"
"10/12/2020 12:00:00 AM";"00554";"Science Park";"4.95088162";"52.35447420";"15"
"10/12/2020 12:00:00 AM";"00556";"C. Mac Gillavrylaan";"4.94469989";"52.35763291";"13"
"10/12/2020 12:00:00 AM";"00557";"C. Mac Gillavrylaan";"4.94421459";"52.35772097";"14"
"10/12/2020 12:00:00 AM";"00560";"Station Bijlmer ArenA";"4.94747867";"52.31125750";"358"
"10/12/2020 12:00:00 AM";"00561";"Station Bijlmer ArenA";"4.94741931";"52.31132918";"421"
"10/12/2020 12:00:00 AM";"00562";"Station Bijlmer ArenA";"4.94736012";"52.31138289";"361"
"10/12/2020 12:00:00 AM";"00568";"Station Bijlmer ArenA";"4.94762664";"52.31112323";"76"
"10/12/2020 12:00:00 AM";"00602";"Van Houtenlaan";"5.03690045";"52.30376371";"29"
"10/12/2020 12:00:00 AM";"00652";"Casparuslaan";"5.03517099";"52.30924110";"38"
"10/12/2020 12:00:00 AM";"00665";"Station Weesp";"5.04383463";"52.31145059";"64"
"10/12/2020 12:00:00 AM";"00678";"J.H.Leopoldhof";"5.03893011";"52.31230806";"16"
"10/12/2020 12:00:00 AM";"00901";"Stammerkamp";"4.98292612";"52.33334103";"38"
"10/12/2020 12:00:00 AM";"00902";"Stammerkamp";"4.98344083";"52.33320797";"11"
"10/12/2020 12:00:00 AM";"00970";"Diemen Noord";"4.98591323";"52.34697657";"19"
"10/12/2020 12:00:00 AM";"00972";"Oude Waelweg";"4.97106499";"52.35127535";"15"
"10/12/2020 12:00:00 AM";"00974";"Buytenweg";"4.97046856";"52.34914317";"21"
"10/12/2020 12:00:00 AM";"00975";"Station Diemen";"4.96742618";"52.34494414";"21"
"10/12/2020 12:00:00 AM";"00977";"Klipperweg";"4.98256340";"52.34899639";"27"
"10/12/2020 12:00:00 AM";"00978";"Tureluurweg";"4.97903855";"52.35086272";"65"
"10/12/2020 12:00:00 AM";"00980";"Zeezigt";"4.97580794";"52.35262211";"40"
"10/12/2020 12:00:00 AM";"00985";"Winkelcentrum";"4.96422695";"52.34186794";"23"
"10/12/2020 12:00:00 AM";"00990";"Martin L.Kinglaan";"4.96527201";"52.34307603";"73"
"10/12/2020 12:00:00 AM";"00991";"Station Diemen";"4.96784657";"52.34549388";"72"
"10/12/2020 12:00:00 AM";"00994";"Burg. Bickerstraat";"4.96278104";"52.34115273";"131"
"10/12/2020 12:00:00 AM";"00998";"Vinkenbrug";"4.97878537";"52.33371328";"58"
"10/12/2020 12:00:00 AM";"00999";"Vinkenbrug";"4.97831599";"52.33370267";"36"
"10/12/2020 12:00:00 AM";"01001";"Hilversumstraat";"4.95884418";"52.39025625";"153"
"10/12/2020 12:00:00 AM";"01002";"Hilversumstraat";"4.95898142";"52.38973546";"111"
"10/12/2020 12:00:00 AM";"01005";"Volendammerweg";"4.95680438";"52.39306199";"334"
"10/12/2020 12:00:00 AM";"01006";"Purmerweg";"4.94847513";"52.39002955";"90"
"10/12/2020 12:00:00 AM";"01007";"Purmerweg";"4.94871052";"52.38999448";"15"
"10/12/2020 12:00:00 AM";"01058";"Purmerplein";"4.94586747";"52.39078382";"57"
"10/12/2020 12:00:00 AM";"01059";"Purmerplein";"4.94569441";"52.39045962";"16"
"10/12/2020 12:00:00 AM";"01060";"Wervershoofstraat";"4.94038537";"52.39249788";"79"
"10/12/2020 12:00:00 AM";"01061";"Wervershoofstraat";"4.93954583";"52.39271041";"18"
"10/12/2020 12:00:00 AM";"01062";"Nieuwe Purmerweg";"4.93413606";"52.39448737";"53"
"10/12/2020 12:00:00 AM";"01065";"Het Breed";"4.93189530";"52.39809181";"10"
"10/12/2020 12:00:00 AM";"01067";"Ilperveldstraat";"4.94464975";"52.39503942";"28"
"10/12/2020 12:00:00 AM";"01069";"De Egmondenstraat";"4.94948278";"52.39361036";"125"
"10/12/2020 12:00:00 AM";"01070";"De Egmondenstraat";"4.94809704";"52.39409057";"16"
"10/12/2020 12:00:00 AM";"01071";"Waterlandplein";"4.95393688";"52.39183820";"291"
"10/12/2020 12:00:00 AM";"01076";"Waterlandplein";"4.95247364";"52.39274059";"88"
"10/12/2020 12:00:00 AM";"01077";"Dijkmanshuizenstraat";"4.95440778";"52.39627083";"178"
"10/12/2020 12:00:00 AM";"01078";"Dijkmanshuizenstraat";"4.95475323";"52.39549915";"46"
"10/12/2020 12:00:00 AM";"01091";"Beemsterstraat";"4.95105959";"52.39759770";"180"
"10/12/2020 12:00:00 AM";"01093";"Th. Weeversweg";"4.94450045";"52.39822048";"15"
"10/12/2020 12:00:00 AM";"01101";"Bakkerswaal";"4.93728965";"52.40222876";"46"
"10/12/2020 12:00:00 AM";"01104";"Amerbos";"4.94255700";"52.40301260";"42"
"10/12/2020 12:00:00 AM";"01106";"Spelderholt";"4.94423483";"52.40127528";"24"
"10/12/2020 12:00:00 AM";"01107";"Spelderholt";"4.94419255";"52.40109537";"58"
"10/12/2020 12:00:00 AM";"01108";"J. Drijverweg";"4.94437079";"52.39943333";"63"
"10/12/2020 12:00:00 AM";"01109";"J. Drijverweg";"4.94420701";"52.39964842";"68"
